,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
0,89.0,1036.0,18273805543.0,5.167863891483501,676.0,1.8473083621955484,1468.0,322.8104182345719,448.5494793096506,285.0,0.0,1468.0,267.9965405885997,578.313230928727,0.644136260458522,18273805543.0,0.03578717952995404,133249.5576782644
1,184.0,1077.0,48259333299.0,4.829722997991696,650.0,2.8376264493674004,2560.0,319.30867661590213,496.266699062383,300.0,0.0,2560.0,250.88966096092088,620.0335141352048,1.0363705610600396,48259333299.0,0.0533514203474587,138160.92205257737
2,336.0,1177.0,11059518860.0,4.8445174502816775,499.0,2.3616845802625126,1274.0,275.31842774008436,898.4735586808125,1061.0,0.0,1274.0,212.75537483792857,953.7162611602814,-0.9465010412710001,11059518860.0,0.05055012341241821,102319.97115298265
3,141.0,1143.0,25765859904.0,4.265334242328317,704.0,2.2631421445727895,1793.0,348.49668367926904,840.0798753429762,1037.0,20.0,1773.0,270.75969762358915,934.2364080915062,-0.9161888530112959,25765859904.0,0.08484235783184894,167063.46924744901
4,189.0,1188.0,22320649850.0,5.031061643287109,871.0,1.4251230860003876,1327.0,388.86293783615474,769.2877707704963,983.0,0.0,1327.0,348.56302936624587,874.6625705679983,-0.4099396701916838,22320649850.0,0.04213258204943848,173230.93809557895
5,139.0,1143.0,17657247668.0,5.3344467417752774,820.0,1.4057775597232962,1518.0,377.2549280578678,692.6485123181519,788.5,0.0,1518.0,333.39175991959735,803.376884621446,-0.22656726053616844,17657247668.0,0.03143255597501646,165652.45712751124
6,152.0,299.0,227055422.0,3.1239849347863675,60.5,15.595530166055473,868.0,52.221930943344525,213.13533318067323,190.0,95.0,773.0,27.52417323560666,228.02073572242386,2.9782146434474286,227055422.0,0.1642764453869496,6566.785669358878
7,227.0,1167.0,7161659368.0,5.182503566926397,744.0,1.628475398263689,1305.0,339.4131562600545,600.8782230941704,425.0,0.0,1305.0,290.16142267927097,708.3769347786935,0.471030162359741,7161659368.0,0.03498408640456273,140743.2427376498
8,291.0,1139.0,29548512828.0,4.8966030524881345,444.0,2.7425502649509683,1408.0,274.22894326497556,867.1135433299463,1038.0,0.0,1408.0,201.41435519559886,926.1998777887576,-1.0800997096136544,29548512828.0,0.053112787534139685,105960.31658969478
9,174.0,1167.6999999999998,2387137218.0,5.0256730519629595,731.75,1.8703583184031667,1266.0,347.61118627976174,520.6950656727015,312.0,0.0,1266.0,286.9055178055959,650.9239791435465,0.7134436150574148,2387137218.0,0.043892065126673346,152578.67520816924
10,228.0,647.9000000000015,5222724473.0,4.300773543618283,134.0,7.899997685267133,1332.0,139.71892699392396,380.0706190373718,311.0,90.0,1242.0,67.06364913762809,432.7993462558644,2.244104879596271,5222724473.0,0.07600069690233027,42861.598664052624
11,188.0,1135.0,61823788262.0,4.766385011531907,848.0,1.284033380722558,1268.0,384.8842520561964,720.4975496688742,925.0,0.0,1268.0,353.27995097207815,826.0640222744526,-0.31151122646303414,61823788262.0,0.049617839373516756,163265.0498173954
12,959.0,1083.0,5445514382.0,2.843731761665116,53.0,5.786849745247533,1187.0,37.80300129667535,1033.299135220126,1046.0,717.0,470.0,23.849340595887256,1034.5367037620356,-1.3922183232330632,5445514382.0,0.1807431346663502,2559.0885841578156
13,88.0,492.0,140044117.0,4.004808566614155,158.0,6.116153757017251,946.0,139.4186540910205,223.8661369193154,141.0,39.0,907.0,78.6670753452596,292.5774060117381,1.9125357721899021,140044117.0,0.10400463890101087,35485.49124937979
14,513.0,1074.0,34579268495.0,4.619518925472067,295.0,3.271059149990241,1851.0,194.89465764259177,901.1086808789107,1007.0,114.0,1737.0,134.54925827732464,932.9173132288258,-0.6514462750924441,34579268495.0,0.07869575952571141,58337.858566760595
15,115.0,1082.0,33420720535.0,5.132504648607237,803.0,1.8079461520881457,1873.0,373.9597754908145,506.3687104616677,282.0,0.0,1873.0,315.9769492928391,652.2271527902353,0.6382432390431014,33420720535.0,0.038803059585102884,168990.9879022448
16,137.0,1315.9000000000015,35915435816.0,5.241448919250082,883.0,1.811199936332289,2173.0,464.8732002506027,673.0103322766232,554.0,27.0,2146.0,400.22195609492906,838.3427667113732,0.3610974082047081,35915435816.0,0.04024921890566396,249875.68714618913
17,184.0,1076.0,30045450060.0,4.669697904890478,818.0,1.2158197861101188,1525.0,364.75525275204774,618.2459328121698,532.0,39.0,1486.0,339.03533718449586,727.3282925695901,0.09569621396321515,30045450060.0,0.0574496894898424,146778.41173340514
18,139.0,1194.0,16571678096.0,5.591375638063271,810.0,1.6340068884648422,1948.0,371.9032498187269,605.7162679115606,493.0,0.0,1948.0,315.94601278693966,732.9659790872862,0.344717468308815,16571678096.0,0.02418387102587913,170346.92928667448
19,325.0,1101.0,37473813061.0,4.065715054543373,103.0,5.998621868214155,1819.0,175.3843510215967,946.8619115549216,1033.0,0.0,1819.0,60.59247524882315,985.8789395191321,-1.9736081010963187,37473813061.0,0.09472380579722463,75409.80383392864
20,27.0,1104.0,166284166257.0,4.659968994752191,1006.0,2.1590845044899782,4095.0,448.81731917924594,693.2769473912102,933.0,0.0,4095.0,399.8733276483709,848.5285616189308,-0.20914130332316577,166284166257.0,0.06523637396502421,239367.79409901678
21,262.0,1199.0,5370928800.0,5.382729374186364,763.0,1.4500310066643611,1332.0,341.3176529739218,746.9688635184224,784.5,0.0,1332.0,298.40825063545634,834.7450350149419,-0.1147830218900289,5370928800.0,0.02801892856786997,138836.79041609296
22,268.0,1169.0,33333785720.0,4.859698583806432,427.0,2.673822532826444,2244.0,281.82501937046294,888.2600799325738,1043.0,99.0,2145.0,199.39003442326847,951.9859817667685,-0.872608964478169,33333785720.0,0.0627228230984772,117271.33987861573
23,362.0,1148.0,59635191161.0,4.780283857919767,427.0,2.829979152021538,1815.0,263.0462509219879,899.8963617827417,1066.0,0.0,1815.0,192.64962207311197,952.5895975638268,-1.0549017441515849,59635191161.0,0.06427222344188967,97613.4794369985
24,216.0,1082.0,173861776.0,4.888420679541147,742.5,1.3444145265787053,1189.0,332.4580261593341,687.6896551724138,774.5,118.0,1071.0,300.5586600271616,774.2889418797362,-0.20875184373936065,173861776.0,0.043971462544589765,126606.30368608801
25,125.0,545.0,1245605287.0,4.141038479233325,109.0,7.9411013391794,1252.0,148.89886227158223,286.92921819787983,214.0,31.0,1221.0,54.90176291839883,370.870264948735,2.3946627955802553,1245605287.0,0.08299665547859254,55216.37716749832
26,1006.0,1082.0,17796348571.0,2.3876770454931195,33.0,65.60468728669558,1199.0,27.636326376355743,1045.2158636391607,1054.0,137.0,1062.0,14.286791904601317,1046.4666844923959,-6.000607050033261,17796348571.0,0.2620988611594356,2616.3201495510325
27,167.0,1043.0,9019763841.0,4.882199090973247,258.0,7.864784934224359,3067.0,278.304092566012,420.5966112623585,255.0,0.0,3067.0,157.4417473099232,568.4221442688018,2.120604315062494,9019763841.0,0.06138995559129436,146202.2246897631
28,164.0,1050.0,5069061974.0,4.515350269235001,565.0,2.1007611436692213,1303.0,304.2031616062083,447.5977724338691,243.0,11.0,1292.0,248.97272002446164,566.3798207736326,0.8887099614754953,5069061974.0,0.07362907526008357,120442.3354918105
29,28.0,1062.0,12119281154.0,4.27049153435777,955.0,1.4175849164896628,1178.0,420.5224326453604,426.2783090085556,137.0,0.0,1178.0,383.5664383466398,617.4183111747091,0.5428944354309099,12119281154.0,0.07581123165890315,199492.17424263625
30,253.0,1202.0,50023427209.0,5.224880408164753,631.0,2.4917366418426425,2239.0,325.22486044155494,873.0333169300308,1037.0,0.0,2239.0,251.03372825623725,954.8411212666135,-0.4719019628810356,50023427209.0,0.039296129675342954,149534.39439183215
31,264.0,1208.0,37057344434.0,4.373397508433681,296.0,3.0885653387769354,1283.0,284.0020299134636,955.4765958634549,1131.0,23.0,1260.0,195.41789320231797,1017.0256944274199,-1.317395241972487,37057344434.0,0.07969062528380476,121405.73788275968
32,312.0,1131.0,34224326798.0,4.496065504491391,570.0,1.9871784603125944,1287.0,292.4625008498145,859.9027575120564,1069.0,115.0,1172.0,241.04904894118565,920.001919315636,-0.8195826834211465,34224326798.0,0.07917799030143455,106970.77916761563
33,397.0,1188.0,16915248998.0,3.8911083845183594,157.0,3.900568007162325,1261.0,223.39595021556852,1001.9792926045016,1149.0,135.0,1126.0,134.3338096159118,1042.9752457347365,-1.5824058714097302,16915248998.0,0.12919013657840592,83834.86040721665
34,290.0,1233.0,2773780570.0,4.451952945827891,241.25,3.6615562243379687,1314.0,269.58677248677253,991.2611111111111,1165.0,47.0,1267.0,170.60894393910633,1049.145640698576,-1.472010005291653,2773780570.0,0.0839896699420509,118107.98499559083
35,41.0,2070.0,51047857539.0,5.016510729402965,1022.0,2.5817480313906573,2647.0,593.0364773604606,837.0452709324283,1001.0,0.0,2647.0,476.5367703953328,1104.6087834831512,0.5828392230167613,51047857539.0,0.06085919280041367,519515.7789577851
36,159.0,503.4000000000001,246639922.0,4.017421723835214,114.0,8.336626811764988,1046.0,121.03229720837182,286.0902745463006,222.0,49.0,997.0,56.79810855083101,338.7766580081455,2.344880336962607,246639922.0,0.09403943223779129,32921.97882119033
37,275.0,1101.0,69058209255.0,4.489891048422383,710.0,1.3790993911788096,1573.0,334.5351416201358,772.1572748364442,1024.0,27.0,1546.0,302.2507147916909,849.5392647216403,-0.3875151959055035,69058209255.0,0.0782297797109214,125490.10522094127
38,236.0,1063.0,9596020278.0,4.630861485450561,742.0,1.3013491042255458,1150.0,332.00701118395295,631.3458167764411,500.0,1.0,1149.0,304.13285892553637,722.735154864545,0.12791123143854088,9596020278.0,0.06139638939152635,123748.5637159664
39,175.0,1068.0,20711431227.0,4.686613503346696,546.0,2.2020332833698855,1435.0,303.876033678415,469.6558691681886,281.0,0.0,1435.0,242.71487206672555,586.4062952720158,0.924886228151037,20711431227.0,0.05979720716940697,123295.70769052382
40,303.0,1122.0,57915554081.0,5.261519335253274,650.0,1.7584531418508602,1866.0,319.2451593341069,780.5025395461666,920.0,25.0,1841.0,271.06172640027097,855.4165240619019,-0.16938794881466004,57915554081.0,0.03661818622792742,122553.21540013078
41,117.0,1122.0,13009768219.0,4.284371612822255,331.0,3.0140807486589467,1345.0,323.4379854925461,390.14584418659723,175.0,6.0,1339.0,227.05751137356052,555.0399443122499,1.3055470606459798,13009768219.0,0.09426838884901749,155855.5600460728
42,244.0,529.0,1192673452.0,3.9593088457503556,106.0,14.63732821812752,1654.0,112.62540208455147,365.59426402361873,310.0,126.0,1528.0,49.752303690823,409.48158135827254,3.1429300210250743,1192673452.0,0.09722995276448439,34015.99958470015
43,93.0,1083.0,20957672120.0,5.341832470660032,760.0,4.096256179828048,4095.0,384.71127216716405,550.800545059818,357.0,0.0,4095.0,326.7663194501939,695.7249892440913,0.742381856772397,20957672120.0,0.031018604983923746,180652.02022049832
44,187.0,1059.0,7199116096.0,4.841963310268772,721.0,1.5283882757500409,1182.0,320.5283137284931,540.3993553214758,372.0,58.0,1124.0,283.4698466248399,643.7276722847625,0.4702506803794063,7199116096.0,0.046491625839753574,122353.85283329186
45,202.0,1076.0,6134107859.0,4.792333299009848,416.0,3.0612623329189375,1927.0,287.2035203539472,473.7510259148912,292.0,1.0,1926.0,205.32658168459815,587.2187801169811,1.2050982040075924,6134107859.0,0.06292163710254783,120385.86116666353
