,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
1,89.0,1036.0,18273805543.0,5.167863891483501,676.0,1.8473083621955484,1468.0,322.8104182345719,448.5494793096506,285.0,0.0,1468.0,267.9965405885997,578.313230928727,0.644136260458522,18273805543.0,0.03578717952995404,133249.5576782644
2,-840.0,53.0,52304168115.0,4.829545175003633,650.0,2.8376264493674,1536.0,319.30867661590213,-527.7333009376171,-724.0,-1024.0,2560.0,250.88966096092088,645.4946622328421,1.0363705610600398,52304168115.0,0.053346802385001196,138160.92205257737
3,-688.0,153.0,1435696524.0,4.843860958122498,499.0,2.3616845802625135,250.0,275.3184277400843,-125.52644131918743,37.0,-1024.0,1274.0,212.7553748379285,343.6231345867767,-0.9465010412710008,1435696524.0,0.05058329412067257,102319.97115298265
4,141.0,1143.0,25765859904.0,4.265334242328317,704.0,2.2631421445727895,1793.0,348.49668367926904,840.0798753429762,1037.0,20.0,1773.0,270.75969762358915,934.2364080915062,-0.9161888530112959,25765859904.0,0.08484235783184894,167063.46924744901
5,-835.0,164.0,6947075706.0,5.03142553418465,871.0,1.4251230860003876,303.0,388.86293783615474,-254.7122292295037,-41.0,-1024.0,1327.0,348.5630293662459,487.9644022002447,-0.4099396701916838,6947075706.0,0.04213924762768382,173230.93809557895
