,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
323,1501.733975587605,0.19642324146387755,2.4088544085581947,364.679985745103,2.059281161104544,751.9987353806586,0.00605551923971363,0.003116778691461217,3.5423647889602674,4972.964414087166,0.6479191062419081,0.7796304429664952,0.4005852018634712,0.8316396251526734,303.12182706072656,0.002649197226783587
324,1738.8675869797237,0.05523940968518904,213.83368655019336,595.5148869651006,1.8356551844119777,1219.5685878329705,0.021152343101770218,0.011623764928001538,5.444378964912899,22426.467944254688,0.709319698579407,0.819402874366258,0.3269503596943955,0.8662297331982489,501.44683066410914,0.0100542341569597
325,263.5914319106333,0.1106892733550043,31.12688978156141,93.1018360550394,1.8167108367972735,130.70859555839505,0.07783684559796257,0.04170004772374373,4.421944873202937,1714.182080421186,0.7125649877147343,0.8251214434420541,0.3076219148539388,0.8663967992249128,86.34397809892083,0.03628185055016586
326,71.60367907451506,0.02712632045290866,118.64782650306044,696.3465030565659,1.2632539851932516,913.7837431050046,0.008591908453633808,0.00699959044227423,5.660608859948386,2290.643281083934,0.8653198591296826,0.9262618083670717,0.09180773155634281,0.9439926560567131,651.5647046971752,0.006640148292951931
327,492.70295658197716,0.20313243082974514,1.9209303364967012,33.45992322115864,1.8830272154084844,62.14591625480653,0.07195056187735674,0.040503321724984415,3.3650141126148942,1657.3752525520965,0.6795026709031116,0.8060045008183305,0.32292069811455576,0.8495822399700628,28.551679957463417,0.035081053382079445
328,4265.765834530581,0.10029197148766814,38.6706507134291,1447.8685892563162,1.8910507535728436,2866.928891183794,0.0014776429073701672,0.0008891462539832304,4.814869864331448,29802.36373996308,0.6980347473120772,0.8097443614310602,0.35191705807138934,0.8601936060868097,1227.5526130640033,0.0007940686374168325
329,476.2249097383564,0.029608941435071794,180.67195175235068,784.8195106935808,1.426813941624132,1301.2317550213188,0.007855867685231489,0.006043558092157267,5.759392808855656,13264.751671882752,0.8226137501892375,0.8943415122684025,0.16791210714628868,0.9241584711990097,702.6938215407089,0.0056664903941678274
330,526.7777351570422,0.05935283381594593,268.81941550477046,968.0674899826101,1.7238829031823095,1886.7098769472666,0.015521410421381974,0.010242231977021166,5.31031103281209,6565.228980732225,0.7361871492944368,0.8376173316671995,0.28114596930978464,0.8804943328701916,822.4241225627641,0.00928449791096645
331,194.45342267681505,0.03376321269745485,238.75825592061713,889.2993568591639,1.5750405699811212,1669.682125464619,0.056971614713582634,0.029158126514336687,5.754936259142208,4536.438189452202,0.7845752663946377,0.8681268882175227,0.22921758583460253,0.9050593604426703,768.3772874164254,0.024974305657218455
332,361.0483670808961,0.03720635153361061,196.39482007228773,535.5888580813414,1.3573116193896515,736.0326709427926,0.04382550021203354,0.027824459877423328,5.546928846807455,8134.844100282051,0.8357600037973659,0.9061401932957279,0.1311367803724375,0.9303021655517412,498.4069137495177,0.024797099565027125
