,HLH GrayLevelNonUniformity,HLH GrayLevelNonUniformityNormalized,HLH GrayLevelVariance,HLH HighGrayLevelRunEmphasis,HLH LongRunEmphasis,HLH LongRunHighGrayLevelEmphasis,HLH LongRunLowGrayLevelEmphasis,HLH LowGrayLevelRunEmphasis,HLH RunEntropy,HLH RunLengthNonUniformity,HLH RunLengthNonUniformityNormalized,HLH RunPercentage,HLH RunVariance,HLH ShortRunEmphasis,HLH ShortRunHighGrayLevelEmphasis,HLH ShortRunLowGrayLevelEmphasis
65,5306.454532404354,0.27767716337973736,2.692516095872447,158.9826651278412,2.948296188194165,464.69012623658375,0.019736530714335725,0.00714456071010549,3.5318459722382616,10837.322686990548,0.5601157529849368,0.6995866415188101,0.8049278727289928,0.772617408406792,123.30702269140741,0.005667712307797224
66,22396.861936302805,0.32747391161060346,1.3191697274874679,91.64301641136913,3.916621580034573,355.46486959902177,0.0444718915711057,0.011688770875817297,3.4723764299012294,32861.690739092235,0.474407269691821,0.6286777623900549,1.2284214954643893,0.7098084208166375,65.37935337715375,0.008411888392163494
67,1185.1312565207022,0.18629432947759736,3.391842940477863,76.04624233323145,2.0589508845917304,153.11760474534498,0.03335447694598685,0.01793895765634648,3.6988353741946733,4318.379276029085,0.6743718116611882,0.7913497461442667,0.4279898768274897,0.8458604407627063,64.78434802979487,0.01565849193075427
68,1836.9133754109337,0.20856390346833298,3.4752382617657207,465.13106759928365,2.4258229172083032,1124.9079724164055,0.005444892731322806,0.002345808693327501,3.7367228571897075,5522.972003089198,0.6231990942476545,0.7491345170342784,0.5961828479505585,0.8155139921235856,379.6361405559404,0.001944547073350465
69,3969.7808769622125,0.169337014196955,4.0321199293986645,275.9662183442994,1.7891901272096313,491.28852441715935,0.006879393685459344,0.0039355951884058925,3.7089411935371315,16895.52560670445,0.7176525718573412,0.825783962680964,0.3056516553988119,0.870836318398947,240.6633347266528,0.0034525949679334745
70,7615.3190728096515,0.39193943436428186,0.5159205133414134,20.744824839197843,4.032842995589681,83.15155320448152,0.20980159673081478,0.05395027634270452,3.055307270106309,9105.793858804642,0.4591529087059302,0.6209552893080986,1.210330665463628,0.6935699204715674,14.444449024022258,0.0381030454377702
71,7424.134115578807,0.24435448529006562,2.164195975668132,184.30105079752286,2.7724868963636604,508.2222522358586,0.015578721682003497,0.00576540210817262,3.5836430017466587,17718.969370956773,0.5787856381894384,0.7125075413010417,0.746926981547407,0.7868759368651725,145.30729283878762,0.004581880726176653
72,4827.164301546638,0.2378900789597056,2.849462754916069,112.94872759441992,2.6404336774789057,294.9193805746384,0.025597902148533986,0.010418644885996402,3.6574766574486683,12107.249232661261,0.5928332617416399,0.7260738185581235,0.6869387576014172,0.7963706614395256,90.3306365999506,0.008512169670366205
73,217.4070139045481,0.1658086784738938,5.696460820880919,78.7701570489986,1.6331135422666994,124.79755165279951,0.029062348066436313,0.019631303222608643,3.64360355351703,1032.4801638398992,0.7800201313825935,0.8664182532795672,0.24752998727327005,0.9002768210496824,71.53006379447653,0.018109979071717217
74,3074.76421516808,0.21542971199817298,2.6028024087423116,113.25554092003154,2.3969574545551144,267.6564836648804,0.02323243868981755,0.010246383361546374,3.6416215762721698,8934.785405704115,0.6206936066530362,0.7505488718758861,0.5687220707580386,0.8133754481041234,92.55213586561287,0.008504488668197481
75,783.747560417941,0.29460903641131597,1.3163799328891936,31.769820225160977,2.988585742142656,92.89964705644904,0.10833919071393225,0.039846806470256554,3.349385955757808,1448.8713754108912,0.5381102442514776,0.6889354484685224,0.780851411209018,0.7574655659403514,24.320866256767463,0.0313716394901928
76,2317.370763755798,0.19428388105492905,3.2317693471837186,185.6914903756193,2.0258530758686684,372.63834301826137,0.011648617670022777,0.005911806964948917,3.6261237962429504,8075.192735413828,0.6727954131471906,0.7927604819523675,0.40432306268389345,0.8452480937484346,157.49274628165773,0.005041706126314063
77,350.0894286035415,0.2617652643377085,1.2865645531696803,32.09234789573822,2.254537958215123,70.32299949875332,0.08260439655154407,0.03843930426334259,3.1682286135373072,856.2687199769324,0.6320509383796398,0.7653515538902358,0.47968933202478226,0.8185920789706352,26.51687019964175,0.03201800246625929
78,602.7099341617018,0.3501935454133912,0.6312194600944269,12.897714543224991,2.972711846375343,36.957069404960755,0.27716357931090446,0.09852967779522312,2.9389900949713015,920.2046289253412,0.5288155630290864,0.687019615077169,0.7587192561293562,0.7512326084989157,9.825903213377101,0.07599891341054735
79,435.770966706452,0.2742522804641919,1.0407023781134075,21.410440732698763,2.248009149392658,47.29863567331846,0.12695007346936432,0.06017037328009134,3.022211326500562,1014.7478205025473,0.6308698497246412,0.7666320166320167,0.4765190031115084,0.8185001889678566,17.62650278306116,0.05050400261688207
80,676.4356521334576,0.2079910341669361,2.0475042200725615,44.15611994901345,2.026877031949021,87.9967133522335,0.05518860606526563,0.02898262595056848,3.419941455359553,2192.938776594074,0.6679630709310455,0.7923414304993253,0.3896644371276799,0.8417461755399466,37.397694351807885,0.024886841218358602
81,1153.2179034794322,0.5000117198339089,0.24999414008304555,2.4935496104538015,4.197897050510847,10.377427121708545,2.6530145327114236,0.6266125973865496,2.6252550265761503,1000.3172036224046,0.4220677931409478,0.5964273636888067,1.1468720544470528,0.6533379852951519,1.6359352684425812,0.4076886645082944
82,75.06940783104446,0.2789395838048034,0.9953520993781244,13.367750756047492,1.7668620115443283,22.859324372546247,0.18600722102640674,0.11232602103071472,2.7738147265945874,192.30558374814336,0.7081258469227982,0.82698224852071,0.2678211365734978,0.8629808776147322,11.63582936842948,0.0991465551005988
83,200.32861448280372,0.20059814925026936,3.712740891675535,75.80330103178954,2.2821781522688354,171.33571677936732,0.03671400770030185,0.01820264803423089,3.7332598465325884,641.9820998445533,0.6371083124562165,0.7628793225123501,0.5208177133918572,0.8235602384467671,62.75968212774382,0.015579031578328618
84,899.3973998814466,0.14520474712527734,4.383175272275326,76.62555034721103,1.6743007148604836,125.35036900326972,0.02824012029018997,0.017898568095221185,3.7686968894842363,4632.987322646075,0.7439439721109274,0.8452930802821632,0.25705286113841674,0.8846586328374506,68.26932660856646,0.016101760717716445
