,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares
354,395.90705972112494,1676162.1602047482,25367.8534742517,778.9657756879461,40.59266446471964,0.8997397805859934,3.48702021537006,3.2123105492728135,26.79854621666808,0.45766150124083665,0.3983353222935285,0.9877282692737682,0.9459183094476143,-0.24909813718141147,0.9285488531081156,0.34235720786336243,14.534824466732333,0.00873456940877777,8.163803931014394,0.910940409187204,0.025556728876013526,29.069648933464684,5.652352589340187,204.88961003816647
355,630.9281453002859,598657.4528818,5549.435858681346,635.8576203884542,51.60889292238773,0.8493749869136529,4.5325156510947915,3.550236835537061,27.943526583489486,0.36572659754012615,0.29029724859674333,0.9787650881275943,0.9195675312402611,-0.23565673256575811,0.9293420659365869,0.2827507898145319,22.017575916269376,0.0036990209620832324,8.864073824340466,0.867914799785477,0.012737380812322745,44.035151832538766,5.97313420875074,171.86662832771046
356,482.61882998984214,725060.5855123525,11083.739634697986,646.4313240150542,23.148615167708417,0.9308462341677785,2.840152638053321,3.0122847351128663,14.407925608323637,0.4628806321496298,0.40223748549489763,0.9914408093935513,0.9506024805955751,-0.28793619662581316,0.9583759316146481,0.3686827623324462,18.07719439992187,0.008112206891494687,7.960103122562983,0.9404338136363658,0.026812752203582053,36.15438879984372,5.606222012144253,167.39498479569062
357,351.2303701225504,429202.86738127243,8356.62229739493,341.29283576196065,45.558072216256726,0.7649533806360486,4.419218638686204,3.622401193766407,24.537108340359957,0.3646699416966159,0.28941502246541667,0.9822029367920421,0.9231757827777709,-0.14276792310078457,0.8202163847510804,0.27868589632446567,16.652193069998372,0.006285631633887202,8.707528346597782,0.7711599240329308,0.023230508188904576,33.30438613999673,5.6176825699008885,96.71272699455436
358,1220.2914892104907,1115123.9541648726,-19475.20382509957,518.8390707912538,35.4284285312586,0.8726598504884785,2.7619897459962317,2.755899967206224,27.155216262122426,0.5772193126935933,0.5431050266236366,0.9864263243373267,0.9527615615025196,-0.3170402232758017,0.947146215024656,0.37152605268302674,33.15764097070929,0.0513060938307088,6.311573481809869,0.9038986555862197,0.1413484379290379,66.31528194141858,4.672135762121228,138.56687483062805
359,66.86947684183022,38673.551367825516,1059.7194532702497,58.63245241479206,17.064008074797187,0.5180007399649227,2.396377610428739,2.836878698943596,10.944957546703385,0.5012627933380716,0.4467447981276145,0.9890403881429017,0.9447408186843952,-0.17231276386287023,0.8106673277778476,0.3776263584140182,7.513505570516525,0.02441568045954385,6.5179088098040445,0.6579027532168116,0.0905964028345092,15.027011141033045,4.439930273029007,18.924115122397314
360,1363.7439134570366,80203.95925271719,-1565.6547154854388,50.71097711638376,6.311986750245448,0.7716800992938422,1.7674054687493153,2.420252726494385,3.135856493597868,0.48974728997846445,0.42560405934371015,0.9975503022709797,0.9668959972600784,-0.12326298505777651,0.7374777157179782,0.41559886147735065,36.77826497780138,0.018598210931425857,6.402611358840919,0.8766682963475089,0.042227472392030806,73.55652995560273,4.2303708188826885,14.255740966657303
361,337.4741427478402,1074615.7610952174,16008.170264267615,505.2227220865144,45.75235909621769,0.8330971363347003,4.344043723895615,3.6185628967350425,25.64350964722815,0.3768776380180269,0.30390914431717636,0.9952858173716268,0.9594211602042239,-0.17652523711746965,0.884971835497426,0.281473485078036,14.919735815246574,0.005519014642364682,8.992648947614299,0.856816543427253,0.021902257174662286,29.839471630493183,5.870315439030407,137.74377029568285
362,13.38770403975324,4.820551737190351,-0.32462572643450877,1.2937975496257532,0.7272665016139885,0.28084792394206626,0.5846973949696318,1.287184786117747,0.38079686381841543,0.7309280504157563,0.7219082131796198,0.9732280656829003,0.9059103102913446,-0.0525215755953152,0.35623570481982164,0.4645278087943105,3.639511923109988,0.16936570816885907,3.0136862443802994,0.29240041474362194,0.3040350342420931,7.279023846219976,2.2102266019279893,0.5052660128099353
363,245.64768687110762,92090.0396038396,1883.0086650427568,143.5990503462476,15.721799461821535,0.8002725364185103,2.699854895408534,3.0060597755508573,8.218360847821502,0.4253880323278152,0.3516541851809168,0.9915888456018103,0.9431077181085858,-0.19804902196048213,0.8998998805545769,0.3444614928174633,14.617079635630866,0.006557686854727926,8.064875365746712,0.8387906106724775,0.021467542579099393,29.23415927126173,5.386673141080321,39.83021245201727
364,19.459361456537547,644.5193293681247,51.851948895340946,9.142555633523516,2.9833292459430307,0.4880547577260669,1.2343895030311338,2.030284578727158,1.4444864016694714,0.5730809146589236,0.5322278613172731,0.9858245922133531,0.9241840037268706,-0.09792161181447523,0.607618662032957,0.48377429236079345,4.232440120759667,0.0616082792912068,4.8197147024255536,0.6196294108853281,0.12169295375591759,8.464880241519332,3.240202804916062,3.0314712198666363
365,100.09334385784679,278085.0334793348,5195.600633188708,144.80319044771588,22.596670752093694,0.7299893598557278,2.7682498556893385,3.0025545957183324,14.533608964154533,0.4645776109581051,0.40261919731805496,0.9896619934229627,0.9460362651108969,-0.22135000539451283,0.8948801901374848,0.3618420229493283,8.338991047325338,0.018233510258759238,6.79404223552366,0.8012492257745722,0.052339295988425204,16.67798209465067,4.677352993496404,41.84996529995239
366,470.4333732669366,851381.7127438597,13959.852562496371,594.4214629823781,54.80053675128336,0.8302608525257403,4.466248667254144,3.581950811008814,33.32517241279919,0.4079216396212243,0.3451776936020978,0.9776589233370694,0.9219109670888764,-0.19194303540354005,0.8940215909757783,0.3099619554474078,18.317360798214068,0.01007203204574812,8.40705324920291,0.8451204111839659,0.042576751937140514,36.63472159642814,5.635241834968421,162.30549993341535
367,143.26527770580546,781038.6454613713,12494.489907465062,315.9353429419079,23.670327784264376,0.8579627230193876,2.727921080752367,2.9982844740779937,15.730500751390833,0.5016479510750294,0.4485430615749536,0.9903374314092324,0.9502947526012944,-0.2464243888441518,0.9203140727956789,0.3538977921988395,8.37543844900127,0.02662039952387838,7.307140297575472,0.8753810425686763,0.10624305097815395,16.750876898002552,5.0723684665633835,84.90141768154305
