,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum2DDiameterColumn,Maximum2DDiameterRow,Maximum2DDiameterSlice,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Compactness2
0,0.7032731944517665,0.18694684081015017,16.06904801638173,85.95517285419282,97.02061636580135,84.09518416651456,97.32933781753577,97.62684057163789,54546.291666666664,60.44996899282195,0.43581765924672305,15959.628858977734,0.2925887053240448,54639.0,0.08277791273901343
1,0.9246460867728319,0.2757329520956556,24.789967410156063,89.9057121092878,99.84988733093293,98.18350166906862,106.00471687618433,109.49429208867465,125403.625,83.13096488037777,0.5095642192116828,23777.084069818942,0.18960443982236513,125531.0,0.13231125072260946
2,0.5461523261546378,0.17542240155058816,11.173854614072965,63.69685123054629,45.89117562233506,74.33034373659252,64.00781202322104,74.94664769020693,12093.166666666666,34.78818346828876,0.41169350047389,6188.757599666237,0.5117565787565626,12159.0,0.06977856471678881
3,0.8414418668535861,0.36296682565985444,21.199310485826683,58.40564202331014,56.08029957123981,74.52516353554684,70.178344238091,78.49203781276162,29581.833333333332,49.144952458876354,0.38332830468909646,12066.925366423704,0.4079167518270911,29521.0,0.056326486938782915
4,0.6157037496497538,0.3661708243057762,22.74231929054838,62.10849631088324,54.00925846556311,79.63039620647382,87.0976463516667,101.03959619871806,28965.958333333332,38.240434063718716,0.33946288374850914,13436.425938836011,0.46386954590670987,29176.0,0.03911802219277325
5,0.6662513289671969,0.33644375217952727,20.126451683258463,59.82114856607275,66.12110101926616,64.07027391856539,71.78439941937245,73.60027173862879,27497.791666666668,39.855919732490094,0.3659542494800326,12038.96655869234,0.4378157600665147,27358.0,0.04900951262818089
6,0.9976055903095552,0.32373150237265375,8.90700831850105,27.513566808360892,33.015148038438355,35.12833614050059,35.84689665786984,36.46916505762094,4300.833333333333,27.44768805737625,0.5472656897915971,2336.9763197927123,0.5433775593395185,4367.0,0.16390592918925564
7,0.8182807570458982,0.2690143934359988,12.400779495841366,46.097085503313906,52.009614495783374,46.52956049652737,54.91812087098393,56.1159513863928,14226.208333333334,37.720358023261205,0.5551267847175887,5114.675105162732,0.3595248280723241,14272.0,0.17107106035376113
8,0.5943963764128557,0.2605581638406668,20.24729215001593,77.7073796175402,75.0066663703967,96.18731725128839,93.39164844888434,105.0380883299006,34490.916666666664,46.18898486520409,0.31887990724300164,16069.170568219026,0.4658957233151441,34445.0,0.03242511052324597
9,0.5707291064400696,0.24792821729962877,10.020943144518085,40.41872786270016,43.01162633521314,31.064449134018133,49.39635614091387,51.59457335805772,5591.5,23.068144436523205,0.4521926269855295,3369.0919739774836,0.6025381335916093,5634.0,0.09246352171269334
10,0.7639647134849118,0.1399178768738656,10.400480319161833,74.33274826302397,87.00574693662483,65.92419889539804,88.02272433866155,92.69843580125827,27854.541666666668,56.787596729307175,0.382479387115727,11618.233508487008,0.41710374011971146,27882.0,0.05595309373115471
11,0.9875134748816001,0.34382496942249857,25.683479646572472,74.69928577238419,96.08329719571451,102.39628899525607,97.12878049270464,105.9197809665409,90485.83333333333,73.76655126426077,0.37247265971089977,26168.37680298629,0.28919860533954256,90600.0,0.05167532305233289
12,0.6101949983662616,0.1911752215573125,7.96040115656073,41.63929348016619,44.181444068749045,32.2490309931942,42.579337712087536,44.82186966202994,5055.25,25.408088617102297,0.5403078466229397,2636.359360883075,0.521509195565615,5088.0,0.15773345778158243
13,0.9263353582243995,0.2052788237817951,4.8606807671747845,23.678432473587897,27.073972741361768,25.179356624028344,27.294688127912362,28.930952282978865,1562.9583333333333,21.9341692276133,0.5148545911077574,1265.0211937047272,0.8093761469679149,1636.0,0.13647520944367808
14,0.9718514938115574,0.35540905560537206,19.51216264427186,54.90057818317708,63.00793600809346,62.289646009589745,66.37017402418047,67.56478372643548,39665.291666666664,53.35520891843885,0.5467421784370242,10287.471546597431,0.2593570124997383,39731.0,0.16343600446723672
15,0.7226065075193399,0.2720508538987695,27.426586979870216,100.81419185721684,110.76551810017412,125.60254774486066,106.21205204683694,126.74778104566565,78362.45833333333,72.84899108632814,0.3039266102601512,29137.62163008755,0.3718313877564146,78563.0,0.028074121753092342
16,0.7190834132953094,0.3193091924959107,21.85037475295136,68.43014628597386,64.6297145282261,69.2314957226839,75.43208866258443,76.24303246854758,51038.791666666664,49.20698316361543,0.6255491038992043,10637.093438313866,0.20841193709648365,51102.0,0.24478467163824122
17,0.5044718886546063,0.12243776242980721,16.81351312814007,137.3229369311543,78.00640999302557,125.01599897613104,156.97770542341354,158.43295111813072,56666.041666666664,69.27556134925679,0.2761521122514071,25835.54770035029,0.455926458606828,56796.0,0.021059357070486652
18,0.6464372623380473,0.27970078646924335,17.61893565595634,62.9920847859102,52.03844732503075,79.22752047110903,75.66372975210778,82.25569889071517,30783.625,40.72043083796995,0.5162647954283202,9200.782970942046,0.2988856241245807,30846.0,0.13759971467378115
19,0.8779997209777821,0.3362858754448658,19.408817061227698,57.715231231618525,65.00769185258002,59.77457653551382,73.40980860893181,73.76313442364011,38484.875,50.673956917529246,0.5354986686888242,10294.038366408142,0.26748270239693234,38555.0,0.15355896857647083
20,0.7167209444395334,0.24764048693941065,30.260586288034744,122.19563392894838,105.07616285342742,135.09256086106296,135.82341477079717,136.0036764208968,230808.75,87.58017015594338,0.6002289497639702,30315.776666479607,0.13134587257406666,230950.0,0.21624736010947934
